iter	RMSE
376	0.2037544232
377	0.2037326867
378	0.2037106649
379	0.203694681
380	0.20367745
381	0.2036471801
382	0.2036328892
383	0.2036099613
384	0.2035917929
385	0.2035750093
386	0.2035479991
387	0.2035285162
388	0.2035104566
389	0.2034917604
390	0.2034816458
391	0.2034617977
392	0.203437079
393	0.2034125694
394	0.2034005593
395	0.2033807807
396	0.2033703792
397	0.2033607978
398	0.2033419057
399	0.2033192005
400	0.2033025529
401	0.2032949096
402	0.2032678183
403	0.2032492684
404	0.2032306847
405	0.2032106434
406	0.2031958492
407	0.2031681049
408	0.2031518186
409	0.2031290633
410	0.2031034322
411	0.2030789306
412	0.2030632959
413	0.2030557153
414	0.2030429568
415	0.2030252656
416	0.2030150258
417	0.2029938455
418	0.2029766602
419	0.2029586828
420	0.2029422817
421	0.2029247689
422	0.2029052061
423	0.2028859829
424	0.202862847
425	0.2028457875
426	0.2028363753
427	0.2028256437
428	0.202809727
429	0.2027849796
430	0.2027718149
431	0.2027570272
432	0.2027403388
433	0.2027285264
434	0.2027103584
435	0.2026908597
436	0.2026744338
437	0.2026651111
438	0.2026430628
439	0.2026232054
440	0.202602287
441	0.2025836367
442	0.2025639956
443	0.2025431454
444	0.2025262769
445	0.2025026258
446	0.2024869575
447	0.2024688291
448	0.2024548441
449	0.2024481985
450	0.2024297741
451	0.2024095671
452	0.2023900288
453	0.2023745451
454	0.2023529974
455	0.2023403581
456	0.2023187295
457	0.2022996994
458	0.2022785978
459	0.2022572051
460	0.2022428924
461	0.202233857
462	0.2022062986
463	0.2021916505
464	0.2021756719
465	0.2021626591
466	0.2021443917
467	0.2021238648
468	0.2021075233
469	0.2020879415
470	0.2020738968
471	0.2020587791
472	0.2020380768
473	0.202025522
474	0.202001115
475	0.201969628
476	0.2019593872
477	0.2019450591
478	0.2019280364
479	0.2019160665
480	0.2019023069
481	0.20188747
482	0.2018642057
483	0.2018437661
484	0.201828519
485	0.201808465
486	0.2017924173
487	0.2017785819
488	0.2017589771
489	0.2017434518
490	0.2017226846
491	0.2017137979
492	0.2016945604
493	0.2016732586
494	0.2016559091
495	0.2016455195
496	0.2016293491
497	0.2016134427
498	0.2015954445
499	0.2015893555
